NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,metropolitan statistical area/micropolitan statistical area,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened
"Aberdeen, SD Micro Area",5731,513,150,403,941,10100,2007,941,35.02006630605479,16.419473041354042
"Aberdeen, WA Micro Area",8497,560,543,900,1521,10140,3524,1521,41.47346122160763,17.90043544780511
"Abilene, TX Metro Area",24244,2161,1855,1675,5101,10180,10792,5101,44.5141065830721,21.040257383270085
"Ada, OK Micro Area",5068,413,208,272,871,10220,1764,871,34.806629834254146,17.18626677190213
"Adrian, MI Micro Area",8250,552,501,675,1731,10300,3459,1731,41.92727272727273,20.98181818181818
"Aguadilla-Isabela, PR Metro Area",38816,1609,821,1530,4494,10380,8454,4494,21.77967848309975,11.57769991755977
"Akron, OH Metro Area",94274,8045,4959,7312,21628,10420,41944,21628,44.491588348855466,22.941638203534378
"Alamogordo, NM Micro Area",8183,824,484,666,1237,10460,3211,1237,39.23988757179519,15.11670536478064
"Albany, GA Metro Area",24683,1683,1434,1492,6885,10500,11494,6885,46.566462747640074,27.89369201474699
"Albany-Lebanon, OR Metro Area",16499,1470,1149,1607,3479,10540,7705,3479,46.69979998787805,21.086126431904965
"Albany-Schenectady-Troy, NY Metro Area",135406,10442,6812,10240,30101,10580,57595,30101,42.53504276029127,22.230181823552872
"Albemarle, NC Micro Area",5976,443,220,285,1138,10620,2086,1138,34.90629183400268,19.042838018741634
"Albert Lea, MN Micro Area",2790,259,174,204,428,10660,1065,428,38.17204301075269,15.340501792114694
"Albertville, AL Micro Area",8847,792,468,568,1394,10700,3222,1394,36.41912512716175,15.756753701819825
"Albuquerque, NM Metro Area",118861,9544,7849,10090,28712,10740,56195,28712,47.27791285619337,24.155946862301345
"Alexander City, AL Micro Area",4779,194,342,283,638,10760,1457,638,30.487549696589245,13.350073237078885
"Alexandria, LA Metro Area",17775,1334,944,1797,3798,10780,7873,3798,44.29254571026723,21.367088607594937
"Alexandria, MN Micro Area",4192,558,83,227,633,10820,1501,633,35.80629770992366,15.100190839694658
"Alice, TX Micro Area",4970,492,149,385,929,10860,1955,929,39.33601609657948,18.69215291750503
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",103425,8998,6323,9650,24371,10900,49342,24371,47.708000966884214,23.563935218757553
"Alma, MI Micro Area",3208,530,194,149,604,10940,1477,604,46.04114713216958,18.82793017456359
"Alpena, MI Micro Area",2665,308,153,269,312,10980,1042,312,39.09943714821764,11.707317073170733
"Altoona, PA Metro Area",13916,1409,1200,1065,2490,11020,6164,2490,44.29433745329118,17.893072722046565
"Altus, OK Micro Area",3863,463,241,217,364,11060,1285,364,33.26430235568211,9.422728449391665
"Amarillo, TX Metro Area",36333,2962,1725,2659,7941,11100,15287,7941,42.07469793300856,21.85616381801668
"Americus, GA Micro Area",5004,417,248,412,1161,11140,2238,1161,44.724220623501196,23.201438848920862
"Ames, IA Metro Area",19234,1288,652,1646,5336,11180,8922,5336,46.3866070500156,27.74253925340543
"Amsterdam, NY Micro Area",5917,552,314,588,1380,11220,2834,1380,47.89589318911611,23.322629711002197
"Anchorage, AK Metro Area",48025,4694,3205,4319,9639,11260,21857,9639,45.51171264966163,20.07079646017699
"Andrews, TX Micro Area",1814,81,105,176,207,11380,569,207,31.367144432194046,11.411245865490628
"Angola, IN Micro Area",2773,179,140,188,402,11420,909,402,32.78038225748287,14.496934727731697
"Ann Arbor, MI Metro Area",57647,4298,3175,5007,16375,11460,28855,16375,50.05464291290093,28.405641230246154
"Anniston-Oxford, AL Metro Area",12999,877,753,916,2783,11500,5329,2783,40.995461189322256,21.409339179936918
"Appleton, WI Metro Area",25721,1799,1136,1726,3383,11540,8044,3383,31.274056218654017,13.152676801057503
"Arcadia, FL Micro Area",3556,333,158,451,586,11580,1528,586,42.96962879640045,16.479190101237347
"Ardmore, OK Micro Area",7160,351,362,575,1120,11620,2408,1120,33.63128491620112,15.64245810055866
"Arecibo, PR Metro Area",20796,540,503,798,2616,11640,4457,2616,21.432006155029814,12.579342181188691
"Arkadelphia, AR Micro Area",2991,167,133,229,722,11660,1251,722,41.82547642928786,24.13908391842193
"Asheville, NC Metro Area",57940,5535,4048,5602,11562,11700,26747,11562,46.16327235070763,19.955125992405936
"Ashland, OH Micro Area",4524,228,205,297,972,11740,1702,972,37.62157382847038,21.485411140583555
"Ashtabula, OH Micro Area",10271,1271,367,915,2511,11780,5064,2511,49.30386525167948,24.44747346899036
"Astoria, OR Micro Area",6583,543,337,444,1544,11820,2868,1544,43.566762874069575,23.454352119094636
"Atchison, KS Micro Area",1741,156,107,53,280,11860,596,280,34.23319931074095,16.082711085583
"Athens, OH Micro Area",8884,806,264,500,3137,11900,4707,3137,52.9828905898244,35.31067086897794
"Athens, TN Micro Area",5507,277,282,653,909,11940,2121,909,38.51461775921555,16.506264753949516
