,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category
2,"Abilene, TX Metro Area",24244,2161,1855,1675,5101,10180,10792,5101,44.51,21.04,"Abilene, TX",TX,High (40-49%)
6,"Akron, OH Metro Area",94274,8045,4959,7312,21628,10420,41944,21628,44.49,22.94,"Akron, OH",OH,High (40-49%)
8,"Albany, GA Metro Area",24683,1683,1434,1492,6885,10500,11494,6885,46.57,27.89,"Albany, GA",GA,High (40-49%)
9,"Albany-Lebanon, OR Metro Area",16499,1470,1149,1607,3479,10540,7705,3479,46.7,21.09,"Albany-Lebanon, OR",OR,High (40-49%)
10,"Albany-Schenectady-Troy, NY Metro Area",135406,10442,6812,10240,30101,10580,57595,30101,42.54,22.23,"Albany-Schenectady-Troy, NY",NY,High (40-49%)
14,"Albuquerque, NM Metro Area",118861,9544,7849,10090,28712,10740,56195,28712,47.28,24.16,"Albuquerque, NM",NM,High (40-49%)
16,"Alexandria, LA Metro Area",17775,1334,944,1797,3798,10780,7873,3798,44.29,21.37,"Alexandria, LA",LA,High (40-49%)
19,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",103425,8998,6323,9650,24371,10900,49342,24371,47.71,23.56,"Allentown-Bethlehem-Easton, PA-NJ",PA,High (40-49%)
22,"Altoona, PA Metro Area",13916,1409,1200,1065,2490,11020,6164,2490,44.29,17.89,"Altoona, PA",PA,High (40-49%)
24,"Amarillo, TX Metro Area",36333,2962,1725,2659,7941,11100,15287,7941,42.07,21.86,"Amarillo, TX",TX,High (40-49%)
26,"Ames, IA Metro Area",19234,1288,652,1646,5336,11180,8922,5336,46.39,27.74,"Ames, IA",IA,High (40-49%)
28,"Anchorage, AK Metro Area",48025,4694,3205,4319,9639,11260,21857,9639,45.51,20.07,"Anchorage, AK",AK,High (40-49%)
31,"Ann Arbor, MI Metro Area",57647,4298,3175,5007,16375,11460,28855,16375,50.05,28.41,"Ann Arbor, MI",MI,Very High (50%+)
32,"Anniston-Oxford, AL Metro Area",12999,877,753,916,2783,11500,5329,2783,41.0,21.41,"Anniston-Oxford, AL",AL,High (40-49%)
33,"Appleton, WI Metro Area",25721,1799,1136,1726,3383,11540,8044,3383,31.27,13.15,"Appleton, WI",WI,Moderate (30-39%)
38,"Asheville, NC Metro Area",57940,5535,4048,5602,11562,11700,26747,11562,46.16,19.96,"Asheville, NC",NC,High (40-49%)
